activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,variable_ids,start_year,end_year
LOCA2,UCSD,ACCESS-CM2,historical,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,ACCESS-CM2,historical,r2i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,ACCESS-CM2,historical,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,ACCESS-CM2,ssp245,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,ACCESS-CM2,ssp245,r2i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,ACCESS-CM2,ssp245,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,ACCESS-CM2,ssp370,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,ACCESS-CM2,ssp370,r2i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,ACCESS-CM2,ssp370,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,ACCESS-CM2,ssp585,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,ACCESS-CM2,ssp585,r2i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,ACCESS-CM2,ssp585,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,CESM2-LENS,historical,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,CESM2-LENS,ssp370,r1i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,CNRM-ESM2-1,historical,r1i1p1f2,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,CNRM-ESM2-1,ssp245,r1i1p1f2,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,CNRM-ESM2-1,ssp370,r1i1p1f2,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,CNRM-ESM2-1,ssp585,r1i1p1f2,day,d03,"""pr,tasmax,tasmin""",2015,2100
